file_id	text_length	beer	drunk	brandy	liquor	intoxicat	booz	drunkard	temperance	alcohol	terms_sum
1699-12-13_t16991213-28-punish163.txt	147.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1699-12-13_t16991213-65-punish369.txt	181.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1703-01-15_t17030115-37-punish194.txt	374.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
1708-10-13_a17081013-1.txt	1440.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1708-12-08_t17081208-23-verdict103.txt	931.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1712-09-10_t17120910-20-verdict79.txt	162.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1712-09-10_t17120910-30-verdict120.txt	137.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1714-05-13_t17140513-15-verdict63.txt	183.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1714-12-09_t17141209-7-verdict38.txt	193.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1715-02-23_t17150223-3-punish18.txt	133.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1715-06-02_t17150602-54-punish276.txt	127.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1715-10-12_t17151012-47-verdict226.txt	375.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1715-12-07_t17151207-35-punish172.txt	125.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1716-07-12_t17160712-10-verdict59.txt	3949.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1716-09-06_t17160906-27-verdict129.txt	126.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1717-02-27_t17170227-57-verdict292.txt	517.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
1717-05-01_t17170501-53-verdict254.txt	569.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1717-05-01_t17170501-55-punish267.txt	1583.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1717-06-06_t17170606-34-verdict179.txt	907.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
1717-06-06_t17170606-7-punish42.txt	277.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1717-09-11_t17170911-26-verdict142.txt	175.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
